"grupos_edad","porc_decision"
"Adolescentes
(15-19 años)",23.8644389639561
"Adultas 1
(30-39 años)",7.85846386011012
"Adultas 2
(40-49 años)",8.32545168346177
"Jóvenes
(20-29 años)",12.649919443436
